Time,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,Compound,TyreLife,Position,IsAccurate
0 days 02:19:26.309000,46.0,0 days 00:01:37.779000,0 days 00:00:30.898000,0 days 00:00:42.786000,0 days 00:00:24.095000,237.0,258.0,291.0,HARD,16.0,5.0,True
0 days 02:21:04.826000,47.0,0 days 00:01:38.517000,0 days 00:00:31.320000,0 days 00:00:43.157000,0 days 00:00:24.040000,236.0,255.0,290.0,HARD,17.0,5.0,True
0 days 02:22:42.670000,48.0,0 days 00:01:37.844000,0 days 00:00:30.882000,0 days 00:00:42.772000,0 days 00:00:24.190000,240.0,262.0,289.0,HARD,18.0,5.0,True
0 days 02:24:20.624000,49.0,0 days 00:01:37.954000,0 days 00:00:30.947000,0 days 00:00:42.945000,0 days 00:00:24.062000,241.0,253.0,289.0,HARD,19.0,5.0,True
0 days 02:25:58.394000,50.0,0 days 00:01:37.770000,0 days 00:00:30.824000,0 days 00:00:42.711000,0 days 00:00:24.235000,239.0,261.0,285.0,HARD,20.0,5.0,True
0 days 02:27:36.408000,51.0,0 days 00:01:38.014000,0 days 00:00:31.154000,0 days 00:00:42.759000,0 days 00:00:24.101000,237.0,259.0,285.0,HARD,21.0,5.0,True
0 days 02:29:14.211000,52.0,0 days 00:01:37.803000,0 days 00:00:31.107000,0 days 00:00:42.690000,0 days 00:00:24.006000,237.0,259.0,284.0,HARD,22.0,5.0,True
0 days 02:30:52.199000,53.0,0 days 00:01:37.988000,0 days 00:00:31.100000,0 days 00:00:42.853000,0 days 00:00:24.035000,237.0,257.0,284.0,HARD,23.0,5.0,True
0 days 02:32:30.275000,54.0,0 days 00:01:38.076000,0 days 00:00:31.140000,0 days 00:00:42.838000,0 days 00:00:24.098000,234.0,258.0,285.0,HARD,24.0,5.0,True
0 days 02:34:08.230000,55.0,0 days 00:01:37.955000,0 days 00:00:31.131000,0 days 00:00:42.775000,0 days 00:00:24.049000,236.0,261.0,284.0,HARD,25.0,5.0,True
0 days 02:35:46.341000,56.0,0 days 00:01:38.111000,0 days 00:00:31.227000,0 days 00:00:42.824000,0 days 00:00:24.060000,237.0,261.0,285.0,HARD,26.0,5.0,True
0 days 02:37:24.596000,57.0,0 days 00:01:38.255000,0 days 00:00:31.166000,0 days 00:00:42.890000,0 days 00:00:24.199000,237.0,264.0,284.0,HARD,27.0,5.0,True
